6	73	1	wheat
19	81	3	wheat
14	56	1	wheat
21	76	3	wheat
38	82	2	wheat
20	55	1	wheat
8	85	5	wheat
34	55	0	wheat
22	60	3	wheat
32	65	0	wheat
34	79	2	wheat
38	80	2	wheat
28	53	3	wheat
21	73	3	wheat
35	63	0	wheat
24	77	3	wheat
34	79	2	wheat
34	51	0	wheat
6	67	1	wheat
14	55	1	wheat
33	73	0	wheat
6	79	2	wheat
35	62	0	wheat
12	94	4	wheat
35	89	2	wheat
29	70	3	wheat
36	79	2	wheat
27	88	4	wheat
32	59	0	wheat
21	51	3	wheat
28	95	3	wheat
8	54	1	wheat
14	55	1	wheat
31	63	0	wheat
29	85	3	wheat
16	66	1	wheat
15	73	1	wheat
30	86	4	wheat
14	69	1	wheat
34	56	0	wheat
12	64	1	wheat
38	69	0	wheat
17	77	1	wheat
11	78	5	wheat
40	59	0	wheat
26	87	3	wheat
28	92	3	wheat
27	90	4	wheat
28	84	3	wheat
37	89	2	wheat
23	61	3	wheat
29	55	3	wheat
37	60	0	wheat
29	59	3	wheat
27	50	3	wheat
12	79	3	wheat
13	69	1	wheat
13	94	2	wheat
10	58	1	wheat
24	90	4	wheat
36	63	0	wheat
38	78	2	wheat
9	89	3	wheat
14	79	4	wheat
31	62	0	wheat
36	59	0	wheat
37	63	0	wheat
20	76	3	wheat
30	65	3	wheat
16	66	1	wheat
9	93	3	wheat
31	59	0	wheat
33	86	2	wheat
23	64	3	wheat
16	64	1	wheat
8	94	2	wheat
13	88	2	wheat
35	90	2	wheat
7	74	1	wheat
34	68	0	wheat
10	86	5	wheat
23	92	4	wheat
26	81	3	wheat
29	94	4	wheat
36	88	2	wheat
17	63	1	wheat
7	88	5	wheat
20	72	1	wheat
19	57	1	wheat
7	76	3	wheat
34	76	2	wheat
40	74	0	wheat
39	88	2	wheat
18	68	1	wheat
19	60	1	wheat
13	71	1	wheat
27	83	4	wheat
23	78	3	wheat
38	78	2	wheat
37	70	0	wheat
31	90	2	onion
17	78	1	onion
29	75	4	onion
14	62	1	onion
28	73	3	onion
34	82	2	onion
26	51	3	onion
24	69	3	onion
29	86	4	onion
16	90	4	onion
27	67	3	onion
27	84	4	onion
30	56	3	onion
24	90	4	onion
23	67	3	onion
30	72	3	onion
30	82	4	onion
28	70	3	onion
16	56	1	onion
30	81	4	onion
10	73	1	onion
21	50	3	onion
10	53	1	onion
32	76	2	onion
27	61	3	onion
20	87	5	onion
29	86	3	onion
20	76	4	onion
29	83	4	onion
14	62	1	onion
26	72	3	onion
15	88	4	onion
28	59	3	onion
18	60	1	onion
22	51	3	onion
10	52	1	onion
15	62	1	onion
20	71	1	onion
13	77	5	onion
24	69	3	onion
25	71	3	onion
20	77	1	onion
20	67	1	onion
19	55	1	onion
31	61	0	onion
31	58	0	onion
20	55	1	onion
29	72	3	onion
30	89	4	onion
11	68	1	onion
10	59	1	onion
32	50	0	onion
27	84	4	onion
35	86	2	onion
31	50	0	onion
29	56	3	onion
15	59	1	onion
19	77	5	onion
13	76	1	onion
23	55	3	onion
27	65	3	onion
33	57	0	onion
27	74	3	onion
26	90	3	onion
10	77	5	onion
24	71	3	onion
21	81	3	onion
35	81	2	onion
21	71	3	onion
26	62	3	onion
16	86	5	onion
25	51	3	onion
32	71	0	onion
21	54	3	onion
23	77	4	onion
18	80	4	onion
20	75	3	onion
14	79	4	onion
14	86	1	onion
29	89	3	onion
21	88	3	onion
10	50	1	onion
17	67	1	onion
19	58	1	onion
20	63	1	onion
20	79	5	onion
13	88	3	onion
28	70	3	onion
23	82	3	onion
27	74	3	onion
15	71	1	onion
35	85	2	onion
11	74	1	onion
15	82	2	onion
20	69	1	onion
19	53	1	onion
25	86	3	onion
11	89	1	onion
17	90	2	onion
33	60	0	onion
